,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
28868,28868,1371,3,150,0,0,1,0,سیدخندان,45000000.0,2.0
28869,28869,1389,2,79,0,1,1,0,سلسبیل,39240000.0,2.0
28870,28870,1400,2,120,1,1,1,0,جنت‌آباد مرکزی,75000000.0,4.0
28871,28871,1392,1,53,0,1,1,0,جنت‌آباد جنوبی، خیابان مجاهد کبیر جنوبی (بلوار لاله شرقی),69811000.0,2.0
28872,28872,1386,2,71,0,1,1,0,پونک,68873000.0,1.0
28873,28873,1401,2,71,1,1,1,0,جیحون,45070000.0,1.0
28874,28874,1397,2,111,1,1,1,0,یوسف‌آباد,91891000.0,4.0
28875,28875,1390,3,140,1,1,1,0,سعادت‌آباد,100000000.0,5.0
28876,28876,1389,2,72,0,1,1,0,نارمک,46000000.0,3.0
28877,28877,1382,1,48,0,1,1,0,تهران‌سر,44791000.0,3.0
28878,28878,1399,3,175,1,1,1,0,نیاوران,227428000.0,9.0
28879,28879,1401,2,106,1,1,1,0,مجیدیه,61792000.0,4.0
28880,28880,1399,2,125,1,1,1,0,کوهک,59600000.0,20.0
28881,28881,1399,3,270,1,1,1,0,سازمان برنامه,111111000.0,4.0
28882,28882,1401,3,170,1,1,1,0,سعادت‌آباد,105882000.0,4.0
28883,28883,1388,3,245,1,1,1,0,فرمانیه,91428000.0,4.0
28884,28884,1399,0,50,0,0,1,0,شریف‌آباد,440000000.0,
